model,MAE (EUR),MedAE (EUR),RMSE (EUR),MAPE (%),R2 (log),R2 (EUR)
Random Forest (300),14819.734,8689.5228,25448.1544,14.9496,0.8498,0.8117
"MLP sklearn (64, 64, 32)",16106.2442,10060.758,25932.3923,16.4405,0.8334,0.8045
"MLP sklearn (64, 32)",16143.6412,9851.0036,26003.131,16.2134,0.8332,0.8034
"MLP PyTorch (64, 32)",16272.3619,9950.2422,26293.1373,16.4657,0.8303,0.799
MLP sklearn (scalat continue),16632.6746,10490.4865,26641.8928,16.9646,0.8192,0.7936
MLP sklearn (scalat tot),17140.3125,10710.7895,27704.935,17.3422,0.8117,0.7768
Regresie liniara,17196.8722,10621.6036,27921.022,17.3939,0.8145,0.7734
Ridge (alpha=1),17197.0531,10617.6817,27921.22,17.394,0.8145,0.7734
Baseline: EUR/mp x suprafata,18326.3093,11904.612,28775.1873,19.2481,0.7917,0.7593
Baseline: mediana,38512.92,26500.0,60229.2234,43.081,-0.0006,-0.0546
